mcn4gjh00s194_set194098,"['rt60 1.67s', 'distance 44m']"
fkw3hhy00s039_set039050,"['rt60 1.5s', 'distance 40m']"
fcn2pkm00s169_set169052,"['rt60 0.63s', 'distance 37m']"
mkw2jch00s005_set005104,"['rt60 0.52s', 'distance 46m']"
mss4ybd00s082_set082059,"['rt60 1.73s', 'distance 41m']"
mjn3lyc00s086_set086033,"['rt60 1.74s', 'distance 41m']"
mkw4ljg00s190_set190101,"['rt60 1.29s', 'distance 40m']"
mss4ksb00s098_set098048,"['rt60 1.4s', 'distance 49m']"
mkw2khr00s050_set050020,"['rt60 0.9s', 'distance 39m']"
mjn3lyc00s086_set086080,"['rt60 0.66s', 'distance 43m']"
fcn2kkh01s172_set172043,"['rt60 1.32s', 'distance 42m']"
fcn3hys00s093_set093043,"['rt60 1.63s', 'distance 34m']"
fjn3pbk00s135_set135077,"['rt60 1.75s', 'distance 40m']"
fjn2pby00s155_set155034,"['rt60 1.75s', 'distance 43m']"
fcn2lhs00s176_set176100,"['rt60 0.84s', 'distance 34m']"
mcn3kgh01s181_set181094,"['rt60 1.32s', 'distance 36m']"
fss4hcs00s071_set071039,"['rt60 1.38s', 'distance 39m']"
mcn3lhj00s101_set101047,"['rt60 0.53s', 'distance 38m']"
fkb4lks00s077_set077098,"['rt60 0.55s', 'distance 44m']"
mjn5kcr00s106_set106055,"['rt60 1.37s', 'distance 48m']"
mss3kjh02s156_set156057,"['rt60 1.73s', 'distance 38m']"
fcn3ljs00s081_set081059,"['rt60 1.42s', 'distance 38m']"
mkw4oys00s119_set119060,"['rt60 1.0s', 'distance 39m']"
mss2ksh05s065_set065011,"['rt60 1.6s', 'distance 48m']"
fjn3jks00s040_set040038,"['rt60 0.99s', 'distance 36m']"
mjn5kcr00s106_set106001,"['rt60 1.31s', 'distance 44m']"
mcn2lyj00s142_set142097,"['rt60 1.6s', 'distance 46m']"
fkb3leh00s101_set101041,"['rt60 0.97s', 'distance 55m']"
mss2bjh00s001_set001031,"['rt60 1.2s', 'distance 53m']"
fss3khs00s003_set003083,"['rt60 1.71s', 'distance 42m']"
mcn3lgh00s150_set150065,"['rt60 0.59s', 'distance 33m']"
mkn2ksh06s154_set154050,"['rt60 1.38s', 'distance 46m']"
fss3yjs00s072_set072007,"['rt60 1.39s', 'distance 44m']"
fss3pks00s029_set029074,"['rt60 0.56s', 'distance 42m']"
mkn4kjs04s087_set087021,"['rt60 1.12s', 'distance 52m']"
fkn2ley00s124_set124009,"['rt60 1.26s', 'distance 35m']"
mcn5jgs00s117_set117089,"['rt60 0.78s', 'distance 43m']"
fjn2pby00s155_set155086,"['rt60 0.74s', 'distance 39m']"
fjb2ljh00s053_set053083,"['rt60 0.54s', 'distance 35m']"
fjb3pka01s147_set147008,"['rt60 0.78s', 'distance 49m']"
mkw2khr00s050_set050026,"['rt60 1.57s', 'distance 51m']"
fkw3yhj01s194_set194006,"['rt60 1.16s', 'distance 40m']"
mkw4ljg00s190_set190078,"['rt60 1.55s', 'distance 43m']"
fss3kmh00s015_set015085,"['rt60 0.91s', 'distance 33m']"
fss2kjs00s032_set032098,"['rt60 1.8s', 'distance 52m']"
mjn4lys01s158_set158015,"['rt60 1.34s', 'distance 39m']"
fcn3pej00s139_set139002,"['rt60 1.05s', 'distance 42m']"
mcn4gjh00s194_set194075,"['rt60 1.77s', 'distance 43m']"
mkw2agh00s076_set076065,"['rt60 0.81s', 'distance 56m']"
fkn2khh00s020_set020098,"['rt60 1.01s', 'distance 46m']"
mjn3lgs00s171_set171084,"['rt60 1.09s', 'distance 54m']"
mss1kkm01s129_set129102,"['rt60 1.3s', 'distance 47m']"
mkn2yjs01s079_set079007,"['rt60 1.62s', 'distance 44m']"
fkn3kky00s137_set137049,"['rt60 1.35s', 'distance 34m']"
mjn4ahs00s145_set145020,"['rt60 1.7s', 'distance 42m']"
fkn3hmh00s144_set144082,"['rt60 1.7s', 'distance 41m']"
fcb3kks00s158_set158091,"['rt60 1.36s', 'distance 44m']"
fjb2kem01s095_set095066,"['rt60 0.85s', 'distance 52m']"
mcn3jkh02s120_set120069,"['rt60 1.43s', 'distance 40m']"
mjn4jha00s031_set031038,"['rt60 1.12s', 'distance 37m']"
fss4ysj00s111_set111050,"['rt60 0.77s', 'distance 38m']"
fcn2les00s079_set079015,"['rt60 0.83s', 'distance 41m']"
mjn2shr00s114_set114027,"['rt60 1.52s', 'distance 39m']"
mkw2jch00s005_set005090,"['rt60 1.18s', 'distance 44m']"
fjn4jms01s153_set153081,"['rt60 1.31s', 'distance 53m']"
fcn2pkm00s169_set169098,"['rt60 0.91s', 'distance 39m']"
mjn3lbj01s152_set152087,"['rt60 0.72s', 'distance 55m']"
fjn3pmj01s134_set134066,"['rt60 1.65s', 'distance 50m']"
fcn2lhs00s176_set176032,"['rt60 1.76s', 'distance 44m']"
fss2chm00s009_set009043,"['rt60 1.76s', 'distance 37m']"
mkn2mkn00s123_set123020,"['rt60 1.43s', 'distance 45m']"
mkn1kth00s137_set137101,"['rt60 0.81s', 'distance 33m']"
fss3yhs01s027_set027004,"['rt60 1.13s', 'distance 42m']"
mkw2jch00s005_set005045,"['rt60 1.72s', 'distance 35m']"
fjn4jms01s153_set153016,"['rt60 1.66s', 'distance 38m']"
mkn4eds00s014_set014013,"['rt60 1.39s', 'distance 48m']"
fkn3lms01s113_set113043,"['rt60 1.07s', 'distance 39m']"
fkw1kke00s196_set196054,"['rt60 1.41s', 'distance 52m']"
mss4hcy00s021_set021011,"['rt60 1.28s', 'distance 44m']"
mcn3jkh02s120_set120077,"['rt60 1.75s', 'distance 36m']"
fjb3yhs00s012_set012080,"['rt60 0.78s', 'distance 41m']"
mjn4kbh00s108_set108021,"['rt60 1.03s', 'distance 41m']"
mcn2hsh02s057_set057048,"['rt60 1.24s', 'distance 41m']"
mcn2lyj00s142_set142014,"['rt60 1.19s', 'distance 42m']"
mss3kyk00s140_set140036,"['rt60 1.17s', 'distance 36m']"
mcn3lhj00s101_set101051,"['rt60 1.77s', 'distance 39m']"
mss2ksh03s003_set003058,"['rt60 1.09s', 'distance 45m']"
mcn1lch04s193_set193066,"['rt60 1.58s', 'distance 42m']"
fcn2hij00s117_set117001,"['rt60 1.63s', 'distance 54m']"
mss2hhg00s081_set081012,"['rt60 1.59s', 'distance 47m']"
mcn3jsj00s040_set040023,"['rt60 0.54s', 'distance 48m']"
mss1bsc00s012_set012030,"['rt60 1.09s', 'distance 43m']"
mkn3kjh03s161_set161061,"['rt60 1.68s', 'distance 40m']"
fss2lsy00s146_set146039,"['rt60 1.52s', 'distance 51m']"
mjn3phs02s047_set047031,"['rt60 1.65s', 'distance 48m']"
fkn3hej00s104_set104088,"['rt60 1.31s', 'distance 56m']"
fcn3pej00s139_set139005,"['rt60 0.79s', 'distance 46m']"
mjn3jhg00s059_set059101,"['rt60 0.72s', 'distance 54m']"
mkw3jsm01s200_set200082,"['rt60 1.62s', 'distance 59m']"
mss2nys00s006_set006028,"['rt60 1.4s', 'distance 42m']"
fcn3lmk00s131_set131063,"['rt60 1.24s', 'distance 53m']"
mkn2yjs01s079_set079017,"['rt60 0.95s', 'distance 47m']"
mcn3lhj00s101_set101035,"['rt60 1.59s', 'distance 39m']"
fkw2phs00s043_set043066,"['rt60 1.58s', 'distance 43m']"
fcb2yjh00s187_set187015,"['rt60 1.53s', 'distance 37m']"
mkw2khr00s050_set050006,"['rt60 1.07s', 'distance 40m']"
fcn4ljs02s197_set197037,"['rt60 0.8s', 'distance 35m']"
mkn2kcy00s069_set069068,"['rt60 1.02s', 'distance 40m']"
mkw2khr00s050_set050009,"['rt60 1.49s', 'distance 40m']"
mss1bsc00s012_set012067,"['rt60 1.13s', 'distance 41m']"
mjn3lbj01s152_set152011,"['rt60 1.52s', 'distance 53m']"
fkw3khj00s078_set078059,"['rt60 0.82s', 'distance 43m']"
mss2ksh05s065_set065003,"['rt60 1.78s', 'distance 43m']"
fkw2phs00s043_set043094,"['rt60 1.38s', 'distance 41m']"
mkn2dhs00s015_set015013,"['rt60 0.72s', 'distance 39m']"
mcn3sgs00s036_set036075,"['rt60 0.82s', 'distance 37m']"
fjb3ohs00s090_set090006,"['rt60 0.99s', 'distance 33m']"
mcn3kss00s144_set144047,"['rt60 0.61s', 'distance 39m']"
fjn3pbk00s135_set135018,"['rt60 1.68s', 'distance 35m']"
fcn2kjh00s180_set180033,"['rt60 1.19s', 'distance 33m']"
mkn3lgn00s051_set051003,"['rt60 0.75s', 'distance 38m']"
mss2shy01s067_set067045,"['rt60 1.57s', 'distance 49m']"
mss1ahj01s009_set009083,"['rt60 1.43s', 'distance 49m']"
fss2hyj00s036_set036098,"['rt60 0.85s', 'distance 41m']"
fcn1khj03s179_set179061,"['rt60 1.24s', 'distance 36m']"
mcn3ksy00s026_set026095,"['rt60 1.04s', 'distance 52m']"
mcn3kgh01s181_set181087,"['rt60 1.33s', 'distance 36m']"
fcb3hkp00s045_set045046,"['rt60 1.72s', 'distance 48m']"
mkw3lji01s191_set191080,"['rt60 1.03s', 'distance 46m']"
fjn4jms01s153_set153024,"['rt60 1.21s', 'distance 42m']"
mkn2lkm00s029_set029027,"['rt60 1.74s', 'distance 50m']"
fcb5ash00s157_set157010,"['rt60 0.71s', 'distance 47m']"
mcn3ykj00s033_set033006,"['rt60 0.95s', 'distance 44m']"
mss4lhs01s168_set168013,"['rt60 0.74s', 'distance 46m']"
mss5ssh01s035_set035013,"['rt60 1.33s', 'distance 53m']"
fjb3yhs00s012_set012018,"['rt60 1.35s', 'distance 39m']"
mss3kyh00s072_set072060,"['rt60 0.86s', 'distance 49m']"
fkn2hsj00s087_set087065,"['rt60 0.51s', 'distance 40m']"
fjn3pyh00s030_set030084,"['rt60 1.07s', 'distance 49m']"
mss1bsc00s012_set012016,"['rt60 0.76s', 'distance 38m']"
fss2lch01s171_set171084,"['rt60 1.37s', 'distance 54m']"
fjn2jhj01s152_set152097,"['rt60 0.75s', 'distance 53m']"
mcn2lds00s135_set135001,"['rt60 1.49s', 'distance 47m']"
mkn4jmg00s077_set077091,"['rt60 1.05s', 'distance 50m']"
mkw3pks01s149_set149038,"['rt60 1.72s', 'distance 44m']"
mjn3phs02s047_set047046,"['rt60 1.23s', 'distance 37m']"
fcn2lhs00s176_set176048,"['rt60 0.89s', 'distance 34m']"
mjn3sjh01s163_set163064,"['rt60 0.6s', 'distance 50m']"
mjn2jyg01s141_set141006,"['rt60 0.88s', 'distance 38m']"
fjn4jms01s153_set153007,"['rt60 0.93s', 'distance 44m']"
fcn1hje00s199_set199056,"['rt60 1.55s', 'distance 47m']"
mss3kyk00s140_set140054,"['rt60 1.34s', 'distance 46m']"
fss2lsy00s146_set146065,"['rt60 1.32s', 'distance 45m']"
mjn3ksh04s052_set052047,"['rt60 1.16s', 'distance 43m']"
fjb1sjh00s103_set103090,"['rt60 1.19s', 'distance 39m']"
fss2cyh00s056_set056061,"['rt60 0.85s', 'distance 37m']"
mss4ksb00s098_set098063,"['rt60 1.73s', 'distance 36m']"
fss4ksh00s010_set010070,"['rt60 1.37s', 'distance 33m']"
fss3hhy01s070_set070061,"['rt60 0.98s', 'distance 47m']"
mcn2jsm00s143_set143093,"['rt60 1.17s', 'distance 51m']"
mss3kah00s160_set160093,"['rt60 1.6s', 'distance 33m']"
fcn3khs02s138_set138062,"['rt60 1.29s', 'distance 40m']"
fss3lmr00s006_set006101,"['rt60 0.58s', 'distance 41m']"
mcn3ksy00s026_set026010,"['rt60 1.08s', 'distance 40m']"
mss3ysm00s019_set019085,"['rt60 0.78s', 'distance 41m']"
mkn3njm00s133_set133013,"['rt60 0.64s', 'distance 48m']"
mss3lch03s148_set148087,"['rt60 0.6s', 'distance 51m']"
mkw4ljg00s190_set190088,"['rt60 0.83s', 'distance 41m']"
fjb3yhs00s012_set012072,"['rt60 1.28s', 'distance 42m']"
fkb4lhh00s140_set140092,"['rt60 1.78s', 'distance 44m']"
fcn2kjh00s180_set180056,"['rt60 1.73s', 'distance 37m']"
mcn2pms00s131_set131072,"['rt60 0.94s', 'distance 39m']"
fkn4shy00s193_set193083,"['rt60 1.4s', 'distance 40m']"
fss4ysj00s111_set111002,"['rt60 1.36s', 'distance 37m']"
mss2nsm00s121_set121050,"['rt60 1.63s', 'distance 47m']"
fcn3lmk00s131_set131070,"['rt60 0.89s', 'distance 40m']"
fkb3leh00s101_set101047,"['rt60 1.01s', 'distance 44m']"
mss2msi00s122_set122003,"['rt60 0.58s', 'distance 41m']"
mkw3lji01s191_set191027,"['rt60 1.21s', 'distance 45m']"
fkb4lks00s077_set077067,"['rt60 0.97s', 'distance 37m']"
mjn4jha00s031_set031085,"['rt60 0.52s', 'distance 40m']"
mcn2osh00s185_set185098,"['rt60 1.74s', 'distance 38m']"
mcn4gjh00s194_set194040,"['rt60 0.58s', 'distance 43m']"
mkn2lkm00s029_set029060,"['rt60 1.07s', 'distance 43m']"
fkn4cks00s034_set034004,"['rt60 0.84s', 'distance 34m']"
mss5ssh01s035_set035052,"['rt60 0.94s', 'distance 47m']"
fcb1khh01s184_set184093,"['rt60 0.98s', 'distance 35m']"
mss3kyk00s140_set140092,"['rt60 0.65s', 'distance 36m']"
mcn2lds00s135_set135022,"['rt60 0.96s', 'distance 54m']"
mcn3lgh00s150_set150066,"['rt60 1.63s', 'distance 46m']"
fss4ysj00s111_set111021,"['rt60 1.1s', 'distance 38m']"
fjn3lbh00s063_set063068,"['rt60 0.88s', 'distance 46m']"
fjb3yhs00s012_set012049,"['rt60 1.59s', 'distance 38m']"
mkn4phc00s115_set115082,"['rt60 0.96s', 'distance 55m']"
fjn4csh00s164_set164017,"['rt60 1.8s', 'distance 49m']"
mjn2kgj00s083_set083083,"['rt60 1.43s', 'distance 36m']"
fkw3pes00s185_set185087,"['rt60 1.79s', 'distance 46m']"
fss3lkh00s028_set028078,"['rt60 1.4s', 'distance 42m']"
mcn2jjs01s085_set085026,"['rt60 1.2s', 'distance 44m']"
mss3jyj01s146_set146097,"['rt60 1.38s', 'distance 53m']"
fjn2kel00s130_set130043,"['rt60 1.58s', 'distance 45m']"
fkn2jsy02s065_set065037,"['rt60 1.48s', 'distance 46m']"
mjn1jst00s189_set189077,"['rt60 1.44s', 'distance 37m']"
mkn2yjs01s079_set079062,"['rt60 0.64s', 'distance 48m']"
fkn1pjm00s017_set017003,"['rt60 0.91s', 'distance 47m']"
mcn2jsm00s143_set143065,"['rt60 0.94s', 'distance 43m']"
mkn3kty00s132_set132012,"['rt60 1.79s', 'distance 42m']"
mss3kjp00s094_set094031,"['rt60 1.05s', 'distance 50m']"
fkn2ley00s124_set124036,"['rt60 1.01s', 'distance 45m']"
mcn2hsh02s057_set057043,"['rt60 1.31s', 'distance 51m']"
fss1jsk00s092_set092006,"['rt60 1.65s', 'distance 34m']"
fkn3bra00s098_set098001,"['rt60 0.65s', 'distance 41m']"
fss3pyj00s191_set191031,"['rt60 0.55s', 'distance 47m']"
fkw2phs00s043_set043034,"['rt60 0.81s', 'distance 56m']"
fss2kkh00s055_set055052,"['rt60 1.61s', 'distance 47m']"
mjn3kjg00s092_set092104,"['rt60 1.62s', 'distance 43m']"
mss2hsc00s064_set064009,"['rt60 1.48s', 'distance 44m']"
fjn2pkr00s050_set050005,"['rt60 1.01s', 'distance 41m']"
mcn5jgs00s117_set117037,"['rt60 0.5s', 'distance 46m']"
mjn2jss00s068_set068089,"['rt60 1.4s', 'distance 48m']"
mss3sdh00s110_set110090,"['rt60 1.21s', 'distance 35m']"
mkn2yjs01s079_set079097,"['rt60 0.75s', 'distance 47m']"
mkw2khr00s050_set050001,"['rt60 0.87s', 'distance 41m']"
mkn2kgy00s195_set195089,"['rt60 1.73s', 'distance 38m']"
fcn2kkh01s172_set172005,"['rt60 1.46s', 'distance 40m']"
fjb2ssh00s102_set102059,"['rt60 1.28s', 'distance 49m']"
mcn4hny00s187_set187098,"['rt60 1.65s', 'distance 51m']"
mjn2ljy00s196_set196057,"['rt60 0.75s', 'distance 52m']"
fkb4keh00s031_set031090,"['rt60 1.14s', 'distance 54m']"
fjn4jks01s149_set149101,"['rt60 1.51s', 'distance 39m']"
mjn3lyc00s086_set086006,"['rt60 1.13s', 'distance 47m']"
mcn4pcg00s109_set109047,"['rt60 1.53s', 'distance 39m']"
mkn3ejs00s095_set095075,"['rt60 1.21s', 'distance 43m']"
mkn2kjs03s027_set027061,"['rt60 1.51s', 'distance 53m']"
fjb4jho00s091_set091089,"['rt60 1.04s', 'distance 49m']"
fkb4keh00s031_set031082,"['rt60 1.32s', 'distance 56m']"
mss4lyn00s104_set104014,"['rt60 0.77s', 'distance 52m']"
mjn2pjh00s127_set127035,"['rt60 0.65s', 'distance 48m']"
fjn3psy00s133_set133082,"['rt60 0.68s', 'distance 55m']"
mjn5kcr00s106_set106085,"['rt60 1.45s', 'distance 41m']"
fcn4ljs02s197_set197098,"['rt60 1.33s', 'distance 35m']"
fkn3hmh00s144_set144052,"['rt60 0.57s', 'distance 42m']"
fcb3kks00s158_set158005,"['rt60 0.55s', 'distance 45m']"
mss3ysm00s019_set019037,"['rt60 0.87s', 'distance 35m']"
mcn3kss00s144_set144057,"['rt60 0.82s', 'distance 36m']"
mcn2osh00s185_set185070,"['rt60 1.51s', 'distance 38m']"
mkn4kjs04s087_set087097,"['rt60 0.9s', 'distance 43m']"
mkw2kjh01s054_set054084,"['rt60 1.69s', 'distance 41m']"
mkw4oys00s119_set119043,"['rt60 0.75s', 'distance 43m']"
fkn3les01s151_set151082,"['rt60 1.76s', 'distance 45m']"
fjb2kem01s095_set095050,"['rt60 1.59s', 'distance 44m']"
fss2kwi00s026_set026019,"['rt60 0.59s', 'distance 47m']"
fss3jek00s085_set085090,"['rt60 0.73s', 'distance 45m']"
fjn3ksa00s049_set049071,"['rt60 0.56s', 'distance 45m']"
mcn3ykj00s033_set033078,"['rt60 0.95s', 'distance 39m']"
fjn3lbh00s063_set063011,"['rt60 1.41s', 'distance 40m']"
fss4hcs00s071_set071097,"['rt60 0.87s', 'distance 51m']"
fcn4yyo00s181_set181087,"['rt60 1.06s', 'distance 37m']"
mjn5kwg00s155_set155005,"['rt60 1.3s', 'distance 41m']"
mcn3kgw00s053_set053059,"['rt60 0.65s', 'distance 49m']"
fjb2kem01s095_set095012,"['rt60 1.08s', 'distance 47m']"
fss3pks00s029_set029025,"['rt60 1.62s', 'distance 33m']"
mss4eks00s017_set017084,"['rt60 1.16s', 'distance 35m']"
fss4yhj00s060_set060089,"['rt60 0.74s', 'distance 50m']"
mkn3njm00s133_set133088,"['rt60 0.51s', 'distance 44m']"
fjb2khy00s083_set083012,"['rt60 1.12s', 'distance 34m']"
fss2kwi00s026_set026064,"['rt60 0.76s', 'distance 43m']"
mkn3kty00s132_set132021,"['rt60 1.31s', 'distance 42m']"
mkw2agh00s076_set076034,"['rt60 0.76s', 'distance 53m']"
fss1jsk00s092_set092092,"['rt60 1.66s', 'distance 48m']"
mkn3kgh00s111_set111015,"['rt60 1.3s', 'distance 45m']"
fss3jmh00s099_set099059,"['rt60 1.43s', 'distance 37m']"
mss3ajh01s013_set013013,"['rt60 0.92s', 'distance 45m']"
fkw3hsh01s188_set188078,"['rt60 0.58s', 'distance 38m']"
mkn2ksh06s154_set154031,"['rt60 1.36s', 'distance 37m']"
fcn4ljs02s197_set197102,"['rt60 0.8s', 'distance 46m']"
fss2ljk00s024_set024097,"['rt60 0.9s', 'distance 40m']"
fcn2kkh01s172_set172083,"['rt60 1.52s', 'distance 45m']"
fjb4cbs00s173_set173022,"['rt60 1.45s', 'distance 45m']"
fkn3lms01s113_set113085,"['rt60 1.05s', 'distance 44m']"
mcn1lch04s193_set193035,"['rt60 0.92s', 'distance 50m']"
mjn5kcr00s106_set106021,"['rt60 1.25s', 'distance 39m']"
mss4ybh00s107_set107081,"['rt60 0.87s', 'distance 37m']"
fss1bjk00s021_set021022,"['rt60 1.75s', 'distance 55m']"
mjn3jhg00s059_set059035,"['rt60 1.74s', 'distance 36m']"
fss2emh00s126_set126050,"['rt60 1.69s', 'distance 52m']"
mkw4cws00s112_set112066,"['rt60 0.88s', 'distance 50m']"
mkn2mkn00s123_set123070,"['rt60 1.57s', 'distance 46m']"
mkn2ksh06s154_set154103,"['rt60 1.39s', 'distance 37m']"
fkn2sjs01s123_set123068,"['rt60 1.47s', 'distance 42m']"
fss1jsk00s092_set092018,"['rt60 1.42s', 'distance 46m']"
mkn4eds00s014_set014068,"['rt60 1.17s', 'distance 50m']"
fcn3hhs00s089_set089009,"['rt60 1.14s', 'distance 37m']"
mss2ksh05s065_set065007,"['rt60 1.45s', 'distance 53m']"
fjn2ksh01s018_set018020,"['rt60 0.5s', 'distance 47m']"
mss2msi00s122_set122040,"['rt60 1.79s', 'distance 53m']"
fjb3ohs00s090_set090069,"['rt60 1.21s', 'distance 37m']"
mjn3skj00s153_set153016,"['rt60 1.11s', 'distance 54m']"
mjn5kwg00s155_set155031,"['rt60 0.6s', 'distance 43m']"
mkn3ejs00s095_set095010,"['rt60 0.83s', 'distance 34m']"
fcn3lms00s110_set110007,"['rt60 0.85s', 'distance 46m']"
fss2cyh00s056_set056062,"['rt60 1.17s', 'distance 52m']"
fkb4lhh00s140_set140044,"['rt60 1.19s', 'distance 41m']"
mcn2pms00s131_set131104,"['rt60 1.09s', 'distance 54m']"
mss2csj00s080_set080079,"['rt60 1.5s', 'distance 51m']"
fcb2kej01s109_set109039,"['rt60 1.32s', 'distance 41m']"
mcn2jjs01s085_set085083,"['rt60 1.57s', 'distance 41m']"
fkn1pjm00s017_set017045,"['rt60 1.41s', 'distance 38m']"
fjb4cbs00s173_set173035,"['rt60 1.64s', 'distance 45m']"
fkn2jjs00s051_set051001,"['rt60 0.57s', 'distance 42m']"
fss3sjw00s096_set096066,"['rt60 0.84s', 'distance 43m']"
mkw2kjh01s054_set054066,"['rt60 0.72s', 'distance 39m']"
mjn2pjh00s127_set127025,"['rt60 1.18s', 'distance 52m']"
mss2ksh05s065_set065035,"['rt60 1.29s', 'distance 39m']"
fss2kkh00s055_set055051,"['rt60 1.07s', 'distance 37m']"
mkn3jyj02s183_set183034,"['rt60 1.56s', 'distance 41m']"
mss3khs03s136_set136041,"['rt60 1.13s', 'distance 50m']"
mjn2pjh00s127_set127003,"['rt60 0.64s', 'distance 36m']"
mkn2yjs01s079_set079076,"['rt60 1.38s', 'distance 45m']"
fss3yhs01s027_set027033,"['rt60 0.68s', 'distance 45m']"
fss2chm00s009_set009021,"['rt60 0.61s', 'distance 36m']"
fcb2kej01s109_set109019,"['rt60 1.57s', 'distance 60m']"
fss3hhy01s070_set070099,"['rt60 1.02s', 'distance 41m']"
mss4ybd00s082_set082092,"['rt60 0.55s', 'distance 47m']"
mjn3pyh01s157_set157098,"['rt60 0.68s', 'distance 36m']"
mjn2jkh01s103_set103050,"['rt60 1.3s', 'distance 52m']"
mjn3jbc00s179_set179062,"['rt60 0.98s', 'distance 44m']"
fss2ljs01s082_set082034,"['rt60 1.07s', 'distance 43m']"
mjn3kbs00s169_set169097,"['rt60 1.36s', 'distance 42m']"
fkb3leh00s101_set101087,"['rt60 1.39s', 'distance 42m']"
mkn3lsw01s046_set046054,"['rt60 1.39s', 'distance 42m']"
mkn3kyh01s182_set182093,"['rt60 1.77s', 'distance 45m']"
mkn3kty00s132_set132070,"['rt60 1.39s', 'distance 40m']"
fss3lkh00s028_set028002,"['rt60 0.77s', 'distance 38m']"
mcn5jgs00s117_set117044,"['rt60 1.11s', 'distance 47m']"
mcn2lyj00s142_set142046,"['rt60 1.2s', 'distance 40m']"
fkw2lch00s047_set047086,"['rt60 0.98s', 'distance 48m']"
fkn3hsh00s156_set156054,"['rt60 0.65s', 'distance 40m']"
fkn2jsy02s065_set065087,"['rt60 1.14s', 'distance 41m']"
mkn4kjs04s087_set087090,"['rt60 1.63s', 'distance 40m']"
mcn3ksy00s026_set026082,"['rt60 0.66s', 'distance 46m']"
mcn2lyj00s142_set142057,"['rt60 0.63s', 'distance 41m']"
mkn3njm00s133_set133059,"['rt60 0.6s', 'distance 44m']"
fss1bjy00s052_set052102,"['rt60 1.29s', 'distance 41m']"
fcn4ljs02s197_set197052,"['rt60 1.51s', 'distance 47m']"
mjn2jkh01s103_set103084,"['rt60 1.06s', 'distance 34m']"
fss3khj01s086_set086003,"['rt60 1.34s', 'distance 49m']"
fjb4cbs00s173_set173086,"['rt60 1.24s', 'distance 36m']"
fjn2ksh01s018_set018041,"['rt60 1.04s', 'distance 43m']"
fjn3kir00s014_set014005,"['rt60 1.39s', 'distance 37m']"
mss3sdh00s110_set110005,"['rt60 1.21s', 'distance 57m']"
fkw2lsy01s166_set166074,"['rt60 0.73s', 'distance 42m']"
mss2hsc00s064_set064032,"['rt60 1.65s', 'distance 38m']"
fss3hsa00s141_set141013,"['rt60 1.75s', 'distance 44m']"
fjb2kem01s095_set095009,"['rt60 1.63s', 'distance 44m']"
mjn3jhg00s059_set059040,"['rt60 0.87s', 'distance 54m']"
fss2kmj01s066_set066093,"['rt60 1.75s', 'distance 51m']"
mcn3pjg00s038_set038076,"['rt60 0.71s', 'distance 44m']"
fkn3lms01s113_set113023,"['rt60 1.4s', 'distance 48m']"
mkn2htw00s134_set134062,"['rt60 1.58s', 'distance 49m']"
fjb2ssh00s102_set102054,"['rt60 0.77s', 'distance 45m']"
mjn2shr00s114_set114056,"['rt60 1.28s', 'distance 45m']"
mss1kpj00s070_set070007,"['rt60 0.77s', 'distance 37m']"
mjn3ksh04s052_set052031,"['rt60 1.04s', 'distance 48m']"
fjb3lbh01s076_set076017,"['rt60 0.6s', 'distance 42m']"
fkw4kem00s005_set005100,"['rt60 1.39s', 'distance 41m']"
fkn2ley00s124_set124023,"['rt60 1.8s', 'distance 39m']"
mcn4aib00s197_set197039,"['rt60 0.52s', 'distance 55m']"
fss2ljs01s082_set082089,"['rt60 1.01s', 'distance 37m']"
fcb3hkp00s045_set045079,"['rt60 1.34s', 'distance 36m']"
mjn1chs00s198_set198001,"['rt60 1.04s', 'distance 41m']"
fss3sjw00s096_set096010,"['rt60 0.81s', 'distance 48m']"
mss2shy01s067_set067041,"['rt60 1.73s', 'distance 50m']"
mss3ktj00s025_set025096,"['rt60 1.18s', 'distance 34m']"
fjb3pjy00s106_set106074,"['rt60 1.01s', 'distance 40m']"
fkw2lch00s047_set047030,"['rt60 0.74s', 'distance 44m']"
fss2chm00s009_set009060,"['rt60 0.93s', 'distance 41m']"
mss4eks00s017_set017101,"['rt60 1.33s', 'distance 42m']"
fss3yje00s001_set001086,"['rt60 0.53s', 'distance 38m']"
fkb3leh00s101_set101014,"['rt60 1.13s', 'distance 38m']"
mkw2khr00s050_set050035,"['rt60 0.64s', 'distance 37m']"
mcn5jgs00s117_set117051,"['rt60 1.47s', 'distance 49m']"
fjb2psj00s064_set064015,"['rt60 1.02s', 'distance 38m']"
fcn3lmk00s131_set131019,"['rt60 1.36s', 'distance 43m']"
mcn4hny00s187_set187072,"['rt60 1.65s', 'distance 38m']"
fcb1khh01s184_set184089,"['rt60 0.87s', 'distance 57m']"
fss2hyl00s058_set058013,"['rt60 1.2s', 'distance 38m']"
mcn2jjs01s085_set085009,"['rt60 0.68s', 'distance 36m']"
fss4jsy03s143_set143008,"['rt60 0.73s', 'distance 39m']"
fcb1jkh00s200_set200079,"['rt60 0.58s', 'distance 45m']"
fss3sjw00s096_set096065,"['rt60 1.54s', 'distance 39m']"
mss5ssh01s035_set035098,"['rt60 0.61s', 'distance 43m']"
fss4ksh00s010_set010104,"['rt60 0.91s', 'distance 38m']"
mss2nys00s006_set006039,"['rt60 0.75s', 'distance 40m']"
fjb1sjh00s103_set103046,"['rt60 0.67s', 'distance 54m']"
